epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,17780.5,0.97893,0.61255,1.07083,0.91322,0.92133,0.94773,0.68563,1.18838,0.54659,1.18382,0.00274,0.00274,0.00274
79,18007.8,0.98004,0.61037,1.07013,0.91565,0.92116,0.94816,0.68629,1.1876,0.54577,1.18368,0.00264571,0.00264571,0.00264571
80,18234.1,0.9823,0.60467,1.06952,0.91635,0.92151,0.94839,0.68688,1.18728,0.54543,1.18357,0.00255143,0.00255143,0.00255143
81,18459.7,0.97177,0.60306,1.06373,0.91713,0.92004,0.94856,0.68728,1.18671,0.54511,1.18344,0.00245714,0.00245714,0.00245714
82,18685.6,0.96658,0.59608,1.06389,0.91664,0.92039,0.94941,0.68907,1.18618,0.54448,1.18347,0.00236286,0.00236286,0.00236286
83,18915.1,0.96601,0.59208,1.05918,0.91562,0.92082,0.9492,0.68875,1.18593,0.54389,1.18339,0.00226857,0.00226857,0.00226857
84,19143.7,0.96996,0.59914,1.06177,0.91684,0.92133,0.94994,0.68932,1.18546,0.54352,1.18364,0.00217429,0.00217429,0.00217429
85,19373.1,0.95704,0.5876,1.05409,0.91828,0.92103,0.94962,0.69012,1.18473,0.54285,1.18344,0.00208,0.00208,0.00208
86,19601.8,0.94997,0.58323,1.05538,0.91702,0.92135,0.94942,0.69034,1.18407,0.54219,1.18311,0.00198571,0.00198571,0.00198571
87,19834.1,0.95082,0.57985,1.05375,0.91714,0.92133,0.94954,0.69089,1.18342,0.54201,1.18281,0.00189143,0.00189143,0.00189143
88,20065.3,0.94424,0.57843,1.05015,0.91818,0.92105,0.94973,0.69086,1.18251,0.54125,1.18224,0.00179714,0.00179714,0.00179714
89,20296.6,0.93998,0.57282,1.04717,0.91858,0.92091,0.95001,0.69149,1.18202,0.54134,1.18196,0.00170286,0.00170286,0.00170286
90,20529.4,0.93321,0.5687,1.04559,0.92023,0.92101,0.95022,0.69218,1.18139,0.54082,1.18202,0.00160857,0.00160857,0.00160857
91,20761.7,0.92703,0.5657,1.04714,0.92083,0.92085,0.94978,0.69235,1.18086,0.54018,1.18201,0.00151429,0.00151429,0.00151429
92,20993.8,0.923,0.56219,1.04538,0.92358,0.9196,0.9499,0.69275,1.17995,0.53971,1.18181,0.00142,0.00142,0.00142
93,21224.6,0.91765,0.55489,1.0408,0.92302,0.91851,0.94992,0.69207,1.17937,0.53907,1.18176,0.00132571,0.00132571,0.00132571
94,21452.9,0.91772,0.55969,1.0445,0.92307,0.91908,0.95005,0.69289,1.17848,0.53867,1.18159,0.00123143,0.00123143,0.00123143
95,21678.7,0.90814,0.55082,1.03696,0.92423,0.91746,0.94985,0.69355,1.17814,0.53815,1.18145,0.00113714,0.00113714,0.00113714
96,21902.6,0.88993,0.45765,1.00585,0.92333,0.92101,0.95094,0.6943,1.17719,0.53756,1.18118,0.00104286,0.00104286,0.00104286
97,22124.6,0.86878,0.44866,0.99888,0.92328,0.92148,0.95102,0.69514,1.17627,0.53716,1.18096,0.000948571,0.000948571,0.000948571
98,22345.9,0.85642,0.43211,0.98636,0.92141,0.92271,0.95105,0.69501,1.17513,0.53643,1.18095,0.000854286,0.000854286,0.000854286
99,22570.1,0.84697,0.42759,0.98484,0.9191,0.92351,0.95131,0.696,1.17432,0.53614,1.18087,0.00076,0.00076,0.00076
100,22796.1,0.84248,0.42624,0.98364,0.91888,0.92356,0.95133,0.69723,1.17324,0.53527,1.18052,0.000665714,0.000665714,0.000665714
101,23022.5,0.83149,0.42057,0.97645,0.91877,0.92432,0.9515,0.6976,1.17252,0.53462,1.18084,0.000571429,0.000571429,0.000571429
102,23250.5,0.82834,0.41711,0.97768,0.91831,0.92416,0.95182,0.69837,1.1721,0.53419,1.18096,0.000477143,0.000477143,0.000477143
103,23479.9,0.82459,0.41394,0.97159,0.91849,0.92424,0.95179,0.69916,1.17111,0.5337,1.18093,0.000382857,0.000382857,0.000382857
104,23710.6,0.81606,0.41033,0.97114,0.91896,0.92467,0.95195,0.70021,1.17067,0.53264,1.18094,0.000288571,0.000288571,0.000288571
105,23940.3,0.81139,0.40708,0.96751,0.91762,0.92578,0.95188,0.70123,1.16998,0.53217,1.18098,0.000194286,0.000194286,0.000194286
